feature,importance
hour,314
cii_lag_24h,226
cii_roll_72h_mean,213
current_capacity_component,207
data_quality_score,202
cii_lag_2h,201
cii_roll_12h_mean,194
violations_lag_24h,185
cii_roll_24h_mean,185
cii_lag_1h,182
approved_rate,182
location_count_log,177
record_count,162
cell_total_rank_pct,161
cii_roll_3h_mean,160
cii_lag_48h,155
capacity_ratio,153
cii_ewm_3h,122
current_cii,113
ring1_roll_3h_cii_mean,107
hours_since_last_violation,106
cii_ewm_24h,103
cii_roll_6h_mean,100
ring2_roll_3h_cii_mean,88
dow,87
ring1_current_cii_mean,84
month,83
current_violation_count,65
current_temporal_component,54
ring2_current_cii_mean,47
violations_lag_1h,47
cii_lag_3h,42
rejected_rate,39
cii_lag_72h,35
cii_ewm_12h,34
violations_lag_3h,29
cii_lag_12h,27
cii_same_hour_1d,26
junction_count_log,20
confidence_score,19
quiet_hour_streak,15
cii_same_hour_7d,14
current_capacity_ratio,11
cii_lag_6h,10
is_weekend,4
active_hour_streak,4
ring2_active_neighbor_count,3
ring1_active_neighbor_count,2
support_score,1
lanes,0
station_count_log,0
