feature,importance
hour,703
cell_total_rank_pct,401
location_count_log,210
approved_rate,200
record_count,179
rejected_rate,159
cii_ewm_24h,143
hours_since_last_violation,142
data_quality_score,142
current_cii,133
ring1_current_cii_mean,116
cii_roll_24h_mean,105
cii_roll_72h_mean,94
current_temporal_component,88
dow,82
month,78
junction_count_log,63
capacity_ratio,55
cii_roll_12h_mean,55
cii_same_hour_7d,44
cii_roll_3h_mean,43
ring1_roll_3h_cii_mean,41
ring2_current_cii_mean,40
cii_ewm_3h,37
cii_ewm_12h,34
ring2_roll_3h_cii_mean,30
current_violation_count,26
quiet_hour_streak,24
confidence_score,17
cii_lag_6h,16
cii_lag_24h,15
cii_roll_6h_mean,14
cii_lag_12h,13
violations_lag_1h,11
cii_lag_1h,9
cii_lag_48h,7
cii_lag_2h,6
cii_lag_3h,6
current_capacity_component,5
support_score,5
violations_lag_3h,3
ring1_active_neighbor_count,2
active_hour_streak,2
cii_lag_72h,2
lanes,0
cii_same_hour_1d,0
station_count_log,0
current_capacity_ratio,0
is_weekend,0
violations_lag_24h,0
ring2_active_neighbor_count,0
