feature,importance
cell_total_rank_pct,740
hours_since_last_violation,543
record_count,425
hour,356
cii_ewm_24h,351
quiet_hour_streak,297
cii_ewm_3h,211
dow,206
location_count_log,201
approved_rate,153
month,152
cii_ewm_12h,149
data_quality_score,119
ring1_roll_3h_cii_mean,111
rejected_rate,100
ring2_roll_3h_cii_mean,85
cii_roll_72h_mean,74
capacity_ratio,71
ring2_current_cii_mean,69
junction_count_log,52
current_cii,51
ring1_current_cii_mean,48
cii_roll_24h_mean,42
support_score,41
current_temporal_component,37
cii_roll_6h_mean,35
cii_roll_12h_mean,24
confidence_score,17
cii_roll_3h_mean,9
current_violation_count,9
current_capacity_ratio,6
ring2_active_neighbor_count,5
cii_lag_1h,4
is_weekend,4
ring1_active_neighbor_count,2
cii_lag_2h,1
violations_lag_3h,0
lanes,0
station_count_log,0
cii_lag_72h,0
violations_lag_1h,0
active_hour_streak,0
cii_lag_12h,0
cii_lag_6h,0
cii_lag_3h,0
cii_same_hour_7d,0
violations_lag_24h,0
cii_lag_48h,0
current_capacity_component,0
cii_lag_24h,0
cii_same_hour_1d,0
