feature,importance
hours_since_last_violation,581
cii_ewm_24h,447
hour,404
cii_ewm_12h,274
dow,264
cell_total_rank_pct,226
record_count,208
quiet_hour_streak,199
location_count_log,154
data_quality_score,153
rejected_rate,150
approved_rate,140
cii_ewm_3h,123
month,104
junction_count_log,79
current_temporal_component,47
cii_roll_72h_mean,29
cii_roll_24h_mean,5
ring1_active_neighbor_count,3
is_weekend,2
cii_roll_3h_mean,2
cii_roll_6h_mean,2
ring1_roll_3h_cii_mean,2
cii_roll_12h_mean,1
ring2_current_cii_mean,1
cii_lag_12h,0
current_violation_count,0
cii_lag_1h,0
confidence_score,0
capacity_ratio,0
support_score,0
active_hour_streak,0
current_cii,0
cii_same_hour_1d,0
station_count_log,0
lanes,0
cii_same_hour_7d,0
current_capacity_ratio,0
cii_lag_2h,0
current_capacity_component,0
cii_lag_24h,0
ring2_roll_3h_cii_mean,0
ring1_current_cii_mean,0
violations_lag_24h,0
violations_lag_3h,0
violations_lag_1h,0
cii_lag_3h,0
cii_lag_6h,0
cii_lag_72h,0
cii_lag_48h,0
ring2_active_neighbor_count,0
